以下は動画の、タイトル、年代、視聴回数、のリストです。覚えてください。今回は返答はいりませんが覚えた動画タイトル数だけ教えてください。

仮想通貨とNFTで騙される人②情報漏れとハッキングを防ぐ方法	2 日前	150,897 
中田家の夏休み2022①LA＆ラスベガス珍道中〜ドジャース観戦・本場ディズニーリゾート〜福田萌のYouTubeコラボ企画	7 か月前	410,378 
22世紀の民主主義②日本の停滞感を根本から変える「成田悠輔の新構想」とは？	7 か月前	743,707 
22世紀の民主主義①成田悠輔が提唱する「政治家不要論」…アルゴリズムが政策を決めていく時代	7 か月前	197,291 
PSY - 'That That'中田敦彦＆FISHBOYのダンス撮影に密着メイキング	8 か月前	313,811 
PSY - 'That That (DANCE COVER by 中田敦彦 & FISHBOY)' MV	8 か月前	333,512 
佐久間宣行②テレ東を辞めた理由/新たな戦場YouTubeでの戦い方/中田は世界進出すべき？	8 か月前	551,961 
佐久間宣行①TV・YouTube・Netflix…全てでヒットを出す鬼才Pの成功の真髄とは？	8 か月前	862,280 
カジサック夫妻②妻から見た夫の面白さとは？5人の子どもがいる喜びは？伝説の夫婦	8 か月前	738,705 
カジサック夫妻①家庭円満の秘訣はYouTube？カジサック家の子育て術とは？伝説の夫婦	8 か月前	303,237 
築地本願寺の経営学②ビジネスの真髄は仏教に全て詰まっている！	8 か月前	282,161 
築地本願寺の経営学①大赤字のお寺を立て直した常識を越えるマーケティング！	8 か月前	451,340 
介護入門②在宅・通い・施設…介護サービスの種類を解説！	8 か月前	268,357 
介護入門①いつかは訪れる親の介護に今から備えておこう！	8 か月前	626,070 
賃上げで日本を救えるか②賃上げできない本当の理由と日本はどうするべきなのか？	8 か月前	988,889 
賃上げで日本を救えるか①岸田政権が掲げる賃上げ促進税制はなぜ必要なのか？	8 か月前	290,178 
消費税は何に使われているのか②消費税最大の問題点は平等のようで不公平	8 か月前	705,493 
消費税は何に使われているのか①消費税は法人税減税分の穴埋めに使われているのか？	8 か月前	052,055 
参議院選挙2022②争点は経済政策と憲法改正…各党の思惑は？	8 か月前	105,886 
参議院選挙2022①日本の運命が決まる参院選を徹底解説！	8 か月前	566,061 
インボイス制度②消費税の歴史から見る「インボイス制度」の真の意味とは？	9 か月前	935,003 
インボイス制度①消費税のルールが変わる！その意味は？	9 か月前	794,153 
TikTok利用法②動画をバズらせる攻略法と収益化までの方法とは？	9 か月前	298,166 
TikTok利用法①新規参入者にチャンス到来！動画がバズればモノやサービスが売れる時代	9 か月前	410,224 
勉強したくなる究極の勉強法②挑戦し続ける限り人生はゲームオーバーにならない！	9 か月前	943,661 
勉強したくなる究極の勉強法①受験大国・韓国で社会現象を起こしたベストセラー勉強バイブル本	9 か月前	638,392 
Web3.0とDAO②次世代の株式会社DAOの仕組みと課題を徹底解説！	9 か月前	901,373 
Web3.0とDAO①インターネット以来の大革命に乗り遅れるとヤバい！ポストGAFAM時代の幕開け	9 か月前	214,044 
生き様コムドットのお金・恋愛・結婚・野望に中田が切り込むコムドット×中田敦彦②	9 か月前	679,362 

以下同様に動画の、タイトル、年代、視聴回数、のリストです。覚えてください。今回も返答はいりませんが覚えた合計動画タイトル数だけ教えてください。

新世代コムドットにギリギリ質問！ヒカルさんとのコラボは？コムドット×中田敦彦①	9 か月前	172,613 
最強のアンチエイジング②老化を防ぐ食事＆運動術とは？	9 か月前	789,895 
最強のアンチエイジング①生活習慣を見直して体の内側から若返ろう！	9 か月前	060,890 
面倒くさがりがやる気になる方法②モチベーションを下げないための三種の神器とは？	9 か月前	686,594 
モチベーションが上がる方法①ぐうたらな自分がついに動き出す！	9 か月前	748,737 
いつも機嫌がいい人の小さな習慣②10年後の最高な自分を妄想しよう！	9 か月前	998,758 
いつも機嫌がいい人の小さな習慣①お金と人間関係の悩みを毎日の習慣で解決！	9 か月前	367,859 
ゆっくり茶番劇商標登録問題②抹消申請で騒動は終幕へ！	9 か月前	627,995 
ゆっくり茶番劇商標登録問題①何が起きたのか？そしてなぜ起きてしまったのか？中田が徹底解説！	10 か月前	988,859 
WinWinWiiin収録＆新オープニング撮影メイキング中田の日本帰国に完全密着！	10 か月前	058,757 
Part①新世代のカリスマ降臨！コムドットから時代を学べ！WinWinWiiinコムドットやまと編	10 か月前	929,824 
韓国新大統領・尹錫悦②忖度しない新大統領の半生と岸田首相の思惑とは？	10 か月前	532,396 
韓国新大統領・尹錫悦①戦後最悪の日韓関係は一体どうなる？	10 か月前	951,599 
成仏させちゃうぞ feat.可不	10 か月前	610,979 
金持ちになる人、貧乏になる人②金持ちになるお金の使い方とお金に関する教育とは？	10 か月前	446,822 
金持ちになる人、貧乏になる人①お金持ちになる秘訣はメンタルが10割！	10 か月前	597,845 
人口減少国ニッポン②死亡数増加の原因と少子化の対策とは？	10 か月前	928,062 
人口減少国ニッポン①日本はいずれ消滅するのか？11年連続で人口減少の理由とは	10 か月前	488,345 
イーロン・マスクのツイッター買収②国家vs巨大テック企業！メディアはどっちのものだ？	10 か月前	848,313 
イーロン・マスクのツイッター買収①なぜ5兆6000億円で買収したのか？世界の命運を変えるニュースを解説	10 か月前	459,163 
大園桃子と日本史散歩②熱海編海鮮グルメ＆熱海駅前商店街で食べ歩き！	10 か月前	272,564 
大園桃子と日本史散歩①熱海編鎌倉殿の13人 北条政子の頭髪曼荼羅を見に行こう伊豆山神社	10 か月前	545,476 
世界で戦える日本のコンテンツはバトル漫画しかない？心の師弟対談 西野亮廣編②	11 か月前	567,865 
人生の師匠 西野亮廣に中田が質問攻め心の師弟対談 西野亮廣編①	11 か月前	994,466 
ヴェニスの商人②ユダヤ人シャイロックvsキリスト教徒のヴェニス市民たち	11 か月前	370,541 
ヴェニスの商人①正義や差別とは何かを問うシェイクスピアの名作文学	11 か月前	730,456 
悪い円安②日本経済の危機日本円のピンチに日本国民が取るべき対策とは？	11 か月前	557,969 
悪い円安①日本経済の危機円安は給料や生活にどんな影響を及ぼすのか？	11 か月前	713,400 
なぜ食べ過ぎてしまうのか②痩せる3原則は買わない盛らない食べきらない	11 か月前	475,168 
なぜ食べ過ぎてしまうのか①成功率9割以上の肥満専門外来が教える誰でもできるダイエット法	11 か月前	567,440 
インド神話②世界3大叙事詩マハーバーラタと人気の神々	11 か月前	391,953 
インド神話①日本の国民的ゲームや漫画のルーツになった神々の物語	11 か月前	318,118 
富士山噴火②被害エリア予測と具体的な対策とは？	11 か月前	477,812 
富士山噴火①地震に連動する噴火を正しく恐れて対策をしておこう！	11 か月前	741,637 
ジョジョの奇妙な冒険 第4部②東方仗助 vs 吉良吉影！ダイヤモンドは砕けない！	11 か月前	338,500 
ジョジョの奇妙な冒険 第4部①東方仗助のグレートな活躍を全力解説ッッッ！！！	11 か月前	837,261 
朝5時起き「5時間快眠法」②5段階の仮眠法で疲れ知らずの体が手に入る！	11 か月前	818,529 
朝5時起き「5時間快眠法」①9割の人はショートスリーパーになれる！	11 か月前	539,671 
南海トラフと首都直下型地震②東日本大震災以上の巨大地震に備えておくべき事とは？	1 年前	070,393 
南海トラフと首都直下型地震①知っておくべき地震大国ニッポンの現実	1 年前	752,753 

以下同様に動画の、タイトル、年代、視聴回数、のリストです。覚えてください。今回も返答はいりませんが覚えた合計動画タイトル数だけ教えてください。

地政学②ロシアはなぜ北方領土を返さない？沖縄米軍基地や尖閣諸島など日本の地政学とは？	1 年前	238,450 
地政学①紛争が必ず起きる場所は？日本やアジアは大丈夫か？	1 年前	748,146 
ゼレンスキーとウクライナ現代史②ロシアとの関係と汚職にまみれたウクライナ史	1 年前	999,446 
ゼレンスキーとウクライナ現代史①コメディアンがいかにしてウクライナ大統領に上り詰めたのか？	1 年前	352,101 
ウクライナとロシアの関係史②世界大戦とソ連に翻弄されるウクライナ	1 年前	015,703 
ウクライナとロシアの関係史①歴史的背景から見たウクライナ侵略	1 年前	879,576 
プーチン②独裁国家の皇帝たちvs世界の警察官をやめたアメリカ	1 年前	367,145 
プーチン①ロシアのウクライナ侵略はプーチンの錯乱か？長期計画か？	1 年前	674,410 
アノニマス②ロシアをサイバー攻撃したハッカー集団は善か悪か？ #Anonymous	1 年前	957,195 
アノニマス①国際的ハッカー集団がロシアに宣戦布告！#Anonymous	1 年前	819,855 
ロシアのウクライナ侵略②ウクライナはどうなるか？そして、日本は大丈夫なのか？	1 年前	465,283 
ロシアのウクライナ侵略①NATOが動かない理由と、プーチンの恐るべき戦略	1 年前	692,634 
FBI式情報を引き出す方法②雑談から聞きたい情報を喋らせる心理術	1 年前	333,710 
FBI式情報を引き出す方法①スパイや容疑者が秘密を漏らした極秘心理テクニック	1 年前	623,333 
人は聞き方が9割②絶対にやってはいけない聞き方4選！	1 年前	912,203 
人は聞き方が9割①会話を盛り上げる主役は聞き手である！	1 年前	466,147 
ジョジョの奇妙な冒険 第3部②空条承太郎vsDIO最終決戦！てめーは俺を怒らせた！	1 年前	733,048 
ジョジョの奇妙な冒険 第3部①シリーズ最高傑作を全力解説ッッッ！！！	1 年前	407,001 
北条政子②鎌倉幕府を守り抜いた日本史上初の女性リーダー！大河ドラマ「鎌倉殿の13人」で話題	1 年前	340,531 
北条政子①大河ドラマ「鎌倉殿の13人」がもっと面白くなる！鎌倉時代の本当の主役はこの人だった！	1 年前	685,087 
天才を育てた親はどんな言葉をかけていたか②最もかけるべき言葉は「大好きだよ」	1 年前	648,943 
天才を育てた親はどんな言葉をかけていたか①自信が持てない子どもに送るべき言葉とは？	1 年前	054,883 
サラリーマンは300万円で小さな会社を買いなさい②会社を買う具体的な手順を解説！	1 年前	719,559 
サラリーマンは300万円で小さな会社を買いなさい①起業せず、労働者から資本家になる方法！	1 年前	543,496 
せどり副業で月収アップ②誰でも稼げるせどり三種の神器はKeepa楽天Amazon	1 年前	742,440 
せどり副業で月収アップ①誰でも少額で始められるお金の稼ぎ方	1 年前	486,438 
ウクライナ・ロシア情勢②ウクライナの思惑とアメリカはどう動くのか？	1 年前	322,318 
ウクライナ・ロシア情勢①世界の紛争最前線をわかりやすく解説！	1 年前	676,912 
40代はどうやって生きていけばいいですか？心の師弟対談 糸井重里編②	1 年前	452,941 
井の中の蛙には○○が必要なんだよ心の師弟対談 糸井重里編①	1 年前	528,128 
飲食店経営②成功者のここをパクれば大丈夫！	1 年前	746,567 
飲食店経営①やってはいけない典型例とは！？	1 年前	095,397 
上沼恵美子さんとは、何があったんですか心の師弟対談 カジサック編②	1 年前	168,462 
宮迫さんのことで、お互い色々ありましたね心の師弟対談 カジサック編①	1 年前	206,913 
ジュニアさん、天下を取る気はまだありますか心の師対談 千原ジュニア編②	1 年前	993,280 
お互いが見る、ジュニアの才能・中田の才能心の師弟対談 千原ジュニア編①	1 年前	517,429 
WinWinWiiin宮迫博之編熱狂と緊張の舞台裏メイキングを公開！	1 年前	606,006 
Part①全ての災いが降り注いだ男WinWinWiiin 宮迫博之編	1 年前	920,635 
喋り上手・聞き上手になるために必要なのは人間力心の師弟対談 古舘伊知郎編②	1 年前	231,044 
古舘伊知郎「喋りの究極は○○がすべて」心の師弟対談 古舘伊知郎編①	1 年前	419,155 

以下同様に動画の、タイトル、年代、視聴回数、のリストです。覚えてください。今回も返答はいりませんが覚えた合計動画タイトル数だけ教えてください。

漫画「ブルーピリオド」のここがスゴい！心の師弟対談 山田五郎編②	1 年前	421,376 
山田五郎「〇〇ができたら一人前の金持ちだよ」心の師弟対談 山田五郎編①	1 年前	884,475 
中田敦彦「藤森って貯金いくらあるの？」２人きり対談②	1 年前	716,822 
日本帰国オリエンタルラジオ約1年ぶりの再会２人きり対談①	1 年前	171,496 
ショート動画時代②Shortsで収益化する方法とヒット戦略を徹底解説！	1 年前	505,076 
ショート動画時代①YouTubeShorts vs TikTok vs Reels…メディアの次の覇権を担うのは一体どれだ？	1 年前	585,443 
天才たちのルーティン②小説家・哲学者・研究者・芸術家・作曲家の巨匠はいかにして仕事に向き合っていたのか？	1 年前	483,713 
天才たちのルーティン①後世に名を残す偉人には共通の習慣がいくつもあった！	1 年前	882,658 
中央銀行デジタル通貨CBDC②デジタル円はできるのか？中国のデジタル人民元に飲み込まれるのか？	1 年前	546,034 
中央銀行デジタル通貨CBDC①新時代の通貨を普及させた国が世界を牛耳る！	1 年前	737,442 
Z世代②次の時代を制するにはZ世代の心をつかめ！	1 年前	706,794 
Z世代①世界を激変させるニュージェネレーション！Z世代の価値観を徹底解説	1 年前	140,150 
ジェイソン流お金の増やし方②楽天VTIをネット証券で毎月定額買うだけ！堅実な投資でゆっくりお金を増やそう	1 年前	196,546 
ジェイソン流お金の増やし方①コレだけやればお金は貯まるのにどうして何もしないの？Why Japanese people！？	1 年前	093,082 
大人の言葉づかい②使いこなせると一目置かれる語彙力上級編！	1 年前	509,376 
大人の言葉づかい①人間関係や仕事が上手くいく！美しい日本語20選	1 年前	398,761 
方丈記②鴨長明エリートが挫折して好きな事だけやって余生を生きてみた！	1 年前	383,290 
方丈記①鴨長明日本最古のミニマリスト！？大災害と挫折の乗り越え方とは？	1 年前	587,654 
ベーシックインカム②財源は？今までの社会保障はどうなる？支給額はいくら？気になる疑問を徹底解説！	1 年前	658,560 
ベーシックインカム①新たな社会保障が世界的に注目され始めたのはなぜ？日本人の生活はどう変わるのか？	1 年前	073,241 
NFTとメタバース②NFTはゲーム・ファッション・スポーツ・音楽業界の未来をどう変えるのか？	1 年前	321,253 
NFTとメタバース①デジタル資産になぜ数十億円もの価値がつくのか？世界の未来はどう変わる？	1 年前	038,220 
もののけ姫②物語のクライマックス＆中田の裏側考察！人間と自然は共存できるのか？	1 年前	987,439 
もののけ姫①天才宮崎駿の最高傑作！ストーリーと設定・時代背景を全力解説！	1 年前	805,575 
貞観政要②中国の名君が実践した人材選びと環境づくりとは？	1 年前	606,789 
貞観政要①帝王学の最高傑作！家康も愛読した中国皇帝のリーダー論とは！？	1 年前	072,479 
気候変動と脱炭素ビジネス②日本の課題はトヨタと原子力発電所	1 年前	730,062 
気候変動と脱炭素ビジネス①日本人が知らない環境危機と地球に配慮したクリーンなビジネスとは？	1 年前	959,039 
リーダーの条件②人徳を向上させる方法とは！？	1 年前	167,942 
リーダーの条件①カリスマ性も能力もいらない！元スタバCEOが説く、リーダーに不可欠な要素とは！？	1 年前	065,818 
野田聖子②優しくて強い日本を作る！明治時代の価値観をアップデートできるか？	1 年前	494,296 
野田聖子①総裁選で弱者の声を届けられるか！不屈のお母さん・野田聖子を徹底解剖！	1 年前	584,546 
高市早苗②安倍晋三を取り巻く女性議員の壮絶バトル！女性初の首相の座は誰の手に？	1 年前	867,040 
高市早苗①総裁選で安倍政治を取り戻すか！？鉄の愛国者・高市早苗を徹底解剖！	1 年前	245,612 
岸田文雄②乱戦の総裁選！最後に岸田が笑う驚愕のシナリオとは？	1 年前	916,750 
岸田文雄①総裁選で愛されキャラ炸裂か！禅譲の貴公子・岸田文雄を徹底解剖！	1 年前	183,002 
河野太郎②総裁選で世代交代の実現か！議員・大臣になってからの実績と実力を分析！	1 年前	860,817 
河野太郎①総裁選の主役となるか！突破力の異端児・河野太郎を徹底解剖！	1 年前	229,698 
自民党総裁選2021②派閥と世代間争い…最新戦況を徹底解説！	1 年前	098,140 
自民党総裁選2021①次の首相は誰になる！？波乱の裏側を知ればニュースがもっと面白くなる！	1 年前	393,969 

以下同様に動画の、タイトル、年代、視聴回数、のリストです。覚えてください。今回も返答はいりませんが覚えた合計動画タイトル数だけ教えてください。

習近平と中国共産党②一帯一路構想と世界各国への影響は？	1 年前	819,472 
習近平と中国共産党①中国を一党支配する習近平はいかにしてトップに上り詰めたのか？	1 年前	321,589 
デルタ株とコロナワクチン②日本のワクチン状況は？マスクなしで生活できるのはいつ？	1 年前	640,103 
デルタ株とコロナワクチン①最新の科学的根拠をもとにワクチンの有効性と安全性を徹底分析！	1 年前	077,944 
タリバンとアフガニスタン②徹底解説！あの9.11から20年後…何が起きているのか！？	1 年前	183,895 
タリバンとアフガニスタン①首都カブール制圧と米軍撤退…歴史を辿って徹底解説	1 年前	081,027 
東京リベンジャーズ②第一章のクライマックスまで全力解説！！（Tokyo Revengers）	1 年前	742,789 
東京リベンジャーズ①絶賛大ヒット中！実は本格派サスペンス漫画！ヒットの理由、全力解説（Tokyo Revengers）	1 年前	464,981 
文豪の死に様②大正時代のインフルエンサー（小説家）の生き様と死に様（Great Japanese Authors and Their Deaths）	1 年前	483,858 
文豪の死に様①感染症と戦後不況だった大正時代には今を生きるヒントが詰まっている（Great Japanese Authors and Their Deaths）	1 年前	800,608 
ストーリーの伝え方②効果的な4種類のストーリーを使い分ける（Stories That Stick）	1 年前	390,722 
ストーリーの伝え方①心に刺さる物語を制する者は人生を制する（Stories That Stick）	1 年前	755,401 
最強チームのつくり方②チームリーダーがすべき3つのルール（The Secrets of Highly Successful Groups）	1 年前	487,631 
最強チームのつくり方①安心な環境づくりが最大限のパフォーマンスを生む（The Secrets of Highly Successful Groups）	1 年前	713,156 
藤森慎吾vs山本舞香①〜黙示録、再び〜XENO ゼノ中田敦彦のカードバトル	1 年前	460,088 
レ・ミゼラブル②人はいつからでも変われる！ジャン・バルジャンの結末とは？（Les Misérables）	1 年前	665,619 
レ・ミゼラブル①革命時代の人間讃歌！今こそ読むべき世界的名作文学（Les Misérables）	1 年前	139,653 
中田敦彦新プロジェクト世界を救うサステナブルブランド始めます！（Nakata's New Project CARL VON LINNÉ）	1 年前	804,744 
大量廃棄社会②環境や人権問題に配慮したアパレルブランドが世界を変える（Fashion’s Huge Waste Problem）	1 年前	551,509 
大量廃棄社会①マスメディアでは報じられないアパレル業界の闇（Fashion’s Huge Waste Problem）	1 年前	876,239 
アフターコロナのニュービジネス②ビジネスチャンスは安全×体験×共有×支援（Business Opportunities After COVID-19）	1 年前	542,549 
アフターコロナのニュービジネス①世界の先進ビジネスでリベンジ消費に備えよう（Business Opportunities After COVID-19）	1 年前	162,919 
もしも徳川家康が総理大臣になったら②コロナを収束させ信頼を取り戻せ！黒幕は一体誰だ？（What Would Happen if Tokugawa Were the Prime Minister?）	1 年前	444,966 
